Height (mm);Total slice surface (mmý)
0.060;0.000
0.180;0.000
0.300;0.000
0.420;0.000
0.540;0.000
0.660;0.000
0.780;0.000
0.900;0.000
1.020;0.000
1.140;0.000
1.260;0.000
1.380;0.000
1.500;0.000
1.620;0.000
1.740;0.000
1.860;0.000
1.980;0.000
2.100;0.000
2.220;0.000
2.340;0.000
2.460;0.000
2.580;0.000
2.700;0.000
2.820;0.000
2.940;0.000
3.060;0.000
3.180;0.000
3.300;0.000
3.420;0.000
3.540;0.000
3.660;0.000
3.780;0.000
3.900;0.000
4.020;0.000
4.140;0.000
4.260;0.000
4.380;0.000
4.500;0.000
4.620;0.000
4.740;0.000
4.860;0.000
4.980;0.000
5.100;0.000
5.220;0.000
5.340;0.000
5.460;0.000
5.580;0.000
5.700;0.000
5.820;0.000
5.940;0.000
6.060;0.000
6.180;0.000
6.300;0.000
6.420;0.000
6.540;0.000
6.660;0.000
6.780;0.000
6.900;0.000
7.020;0.000
7.140;0.000
7.260;0.000
7.380;0.000
7.500;0.000
7.620;0.000
7.740;0.000
7.860;0.000
7.980;0.000
8.100;0.000
8.220;0.000
8.340;0.000
8.460;0.000
8.580;0.000
8.700;0.000
8.820;0.000
8.940;0.000
9.060;0.000
9.180;0.000
9.300;0.000
9.420;0.000
9.540;0.000
9.660;0.000
9.780;0.000
9.900;0.000
10.020;0.000
10.140;0.000
10.260;0.000
10.380;0.000
10.500;0.000
10.620;0.000
10.740;0.000
10.860;0.000
10.980;0.000
11.100;0.000
11.220;0.000
11.340;0.000
11.460;0.000
11.580;0.000
11.700;0.000
11.820;0.000
11.940;0.000
12.060;0.000
12.180;0.000
12.300;0.000
12.420;0.000
12.540;0.000
12.660;0.000
12.780;0.000
12.900;0.000
13.020;0.000
13.140;0.000
13.260;0.000
13.380;0.000
13.500;0.000
13.620;0.000
13.740;0.000
13.860;0.000
13.980;0.000
14.100;0.000
14.220;0.000
14.340;0.000
14.460;0.000
14.580;0.000
14.700;0.000
14.820;14.605
14.940;43.563
15.060;73.268
15.180;103.536
15.300;134.273
15.420;165.425
15.540;196.946
15.660;228.795
15.780;260.961
15.900;293.408
16.020;326.128
16.140;338.312
16.260;342.385
16.380;704.569
16.500;728.714
16.620;747.016
16.740;762.427
16.860;775.818
16.980;836.684
17.100;931.404
17.220;1027.286
17.340;1124.260
17.460;1142.615
17.580;1156.623
17.700;1169.417
17.820;1181.212
17.940;1192.440
18.060;1202.988
18.180;1213.004
18.300;1222.696
18.420;1231.862
18.540;1240.691
18.660;1249.255
18.780;1257.502
18.900;1265.365
19.020;1273.331
19.140;1281.674
19.260;1289.982
19.380;1636.435
19.500;1644.877
19.620;1653.340
19.740;1661.699
19.860;1670.068
19.980;1679.351
20.100;1690.127
20.220;1701.674
20.340;1713.928
20.460;1726.697
20.580;1739.913
20.700;1764.681
20.820;1793.616
20.940;1823.336
21.060;1854.019
21.180;1885.498
21.300;1917.656
21.420;1950.463
21.540;1983.798
21.660;2017.610
21.780;2051.801
21.900;2086.413
22.020;2121.705
22.140;2158.577
22.260;2196.443
22.380;2234.960
22.500;2274.154
22.620;2313.932
22.740;2355.791
22.860;2409.087
22.980;2469.115
23.100;2543.491
23.220;2617.899
23.340;2698.052
23.460;2780.405
23.580;2862.867
23.700;2945.497
23.820;3028.306
23.940;3111.304
24.060;3194.484
24.180;3277.824
24.300;3361.256
24.420;3428.764
24.540;3477.506
24.660;3522.923
24.780;3567.526
24.900;3608.462
25.020;3645.375
25.140;3679.767
25.260;3712.144
25.380;3743.236
25.500;3776.966
25.620;3813.736
25.740;3851.902
25.860;3890.808
25.980;3930.193
26.100;3969.936
26.220;4009.914
26.340;4050.066
26.460;4090.523
26.580;4131.231
26.700;4171.678
26.820;4210.621
26.940;4247.492
27.060;4283.183
27.180;4317.416
27.300;4349.424
27.420;4377.814
27.540;4398.783
27.660;4418.436
27.780;4437.164
27.900;4455.086
28.020;4472.170
28.140;4488.412
28.260;4503.639
28.380;4517.957
28.500;4531.575
28.620;4544.502
28.740;4556.701
28.860;4568.133
28.980;4550.430
29.100;4545.332
29.220;4543.327
29.340;4547.129
29.460;4552.261
29.580;4555.772
29.700;4557.427
29.820;4557.993
29.940;4557.700
30.060;4556.636
30.180;4555.002
30.300;4555.823
30.420;4558.101
30.540;4561.251
30.660;4565.008
30.780;4563.246
30.900;4554.548
31.020;4546.336
31.140;4541.102
31.260;4537.866
31.380;4536.010
31.500;4535.264
31.620;4535.410
31.740;4536.284
31.860;4537.719
31.980;4539.517
32.100;4541.429
32.220;4543.172
32.340;4543.916
32.460;4541.344
32.580;4526.987
32.700;4540.403
32.820;4555.298
32.940;4581.535
33.060;4614.780
33.180;4649.239
33.300;4685.074
33.420;4722.295
33.540;4762.074
33.660;4805.455
33.780;4856.691
33.900;4915.353
34.020;4977.344
34.140;5041.895
34.260;5104.867
34.380;5165.342
34.500;5224.642
34.620;5313.998
34.740;5418.074
34.860;5524.331
34.980;5630.876
35.100;5737.270
35.220;5843.181
35.340;5948.882
35.460;6053.601
35.580;6156.545
35.700;6258.804
35.820;6360.846
35.940;6462.715
36.060;6564.422
36.180;6665.748
36.300;6766.044
36.420;6865.423
36.540;6963.613
36.660;7061.185
36.780;7147.782
36.900;7230.818
37.020;7315.139
37.140;7400.656
37.260;7487.614
37.380;7574.760
37.500;7660.391
37.620;7744.018
37.740;7823.897
37.860;7903.344
37.980;7983.425
38.100;8064.006
38.220;8143.992
38.340;8222.886
38.460;8302.331
38.580;8382.738
38.700;8464.446
38.820;8538.024
38.940;8607.398
39.060;8675.086
39.180;8747.518
39.300;8823.083
39.420;8899.306
39.540;6536.522
39.660;6553.921
39.780;6569.328
39.900;8934.443
40.020;9002.755
40.140;9065.958
40.260;9123.081
40.380;14567.410
40.500;14632.056
40.620;14686.641
40.740;14743.577
40.860;14804.672
40.980;14993.473
41.100;15049.103
41.220;15099.700
41.340;15148.177
41.460;15199.933
41.580;15254.692
41.700;15308.666
41.820;15358.458
41.940;15398.192
42.060;15421.648
42.180;15429.255
42.300;15481.877
42.420;15533.342
42.540;15582.971
42.660;15635.944
42.780;15691.319
42.900;15750.594
43.020;15808.423
43.140;15862.942
43.260;15917.122
43.380;15971.948
43.500;16026.752
43.620;16081.956
43.740;16136.601
43.860;16190.554
43.980;16264.130
44.100;16340.259
44.220;16403.908
44.340;16465.229
44.460;16526.486
44.580;16584.237
44.700;16646.297
44.820;16710.140
44.940;16777.551
45.060;16839.954
45.180;16906.181
45.300;16632.456
45.420;13726.854
45.540;13784.202
45.660;13835.969
45.780;13887.861
45.900;13941.370
46.020;13995.532
46.140;14045.798
46.260;14094.382
46.380;14134.692
46.500;14173.146
46.620;14192.683
46.740;14198.382
46.860;14190.824
46.980;14184.879
47.100;14178.547
47.220;14171.073
47.340;14183.623
47.460;14198.547
47.580;14215.110
47.700;14231.176
47.820;14244.911
47.940;14256.399
48.060;14235.209
48.180;14230.369
48.300;14227.381
48.420;14227.701
48.540;14237.605
48.660;14244.745
48.780;14257.923
48.900;14274.617
49.020;14292.098
49.140;14305.386
49.260;14308.024
49.380;14303.591
49.500;14292.344
49.620;14273.643
49.740;14254.135
49.860;14235.276
49.980;14208.421
50.100;14173.733
50.220;14136.982
50.340;14618.434
50.460;14589.567
50.580;14552.057
50.700;14496.542
50.820;14441.511
50.940;14388.947
51.060;14331.285
51.180;14272.697
51.300;14213.179
51.420;14154.202
51.540;14114.444
51.660;14087.653
51.780;14063.171
51.900;14036.013
52.020;14022.602
52.140;13999.486
52.260;13909.615
52.380;13842.684
52.500;13776.246
52.620;13709.979
52.740;13630.722
52.860;13567.279
52.980;13508.103
53.100;13451.711
53.220;13398.913
53.340;13346.270
53.460;12716.088
53.580;12665.055
53.700;12610.838
53.820;12519.017
53.940;12451.361
54.060;12378.480
54.180;12297.067
54.300;12228.480
54.420;12167.426
54.540;12093.122
54.660;12018.414
54.780;11952.366
54.900;11900.229
55.020;11854.560
55.140;11816.158
55.260;11780.477
55.380;11747.092
55.500;11709.228
55.620;11674.434
55.740;11726.181
55.860;11706.716
55.980;11707.648
56.100;11677.615
56.220;11613.392
56.340;11561.554
56.460;11515.559
56.580;11469.156
56.700;11409.551
56.820;11347.087
56.940;11278.995
57.060;11197.577
57.180;11118.983
57.300;11066.677
57.420;11000.635
57.540;10941.007
57.660;10882.461
57.780;10818.859
57.900;10743.528
58.020;10680.276
58.140;10626.207
58.260;10586.658
58.380;10403.611
58.500;10333.304
58.620;10264.440
58.740;10190.075
58.860;10114.398
58.980;10022.209
59.100;9932.692
59.220;9856.874
59.340;9774.823
59.460;9708.891
59.580;9646.060
59.700;9578.904
59.820;9516.298
59.940;9432.133
60.060;9377.177
60.180;9349.955
60.300;9316.388
60.420;9276.159
60.540;9231.448
60.660;9176.335
60.780;9119.256
60.900;9058.679
61.020;8992.637
61.140;8922.014
61.260;8848.801
61.380;8109.725
61.500;8053.024
61.620;7994.361
61.740;7935.297
61.860;7876.926
61.980;7821.233
62.100;7770.543
62.220;7742.320
62.340;7714.793
62.460;7687.788
62.580;7661.950
62.700;7635.645
62.820;7608.210
62.940;7578.830
63.060;7548.156
63.180;7516.054
63.300;7454.656
63.420;7419.835
63.540;7382.361
63.660;7339.783
63.780;7294.298
63.900;7244.068
64.020;7191.657
64.140;7171.183
64.260;7142.164
64.380;7111.220
64.500;7083.909
64.620;7053.093
64.740;7019.306
64.860;6983.794
64.980;6946.403
65.100;6904.443
65.220;6842.803
65.340;6774.008
65.460;6701.819
65.580;6626.427
65.700;6551.906
65.820;6477.960
65.940;6404.425
66.060;6329.532
66.180;6246.121
66.300;6182.006
66.420;6117.617
66.540;6053.304
66.660;5989.085
66.780;5925.098
66.900;5861.142
67.020;5795.977
67.140;5729.051
67.260;5662.213
67.380;5595.327
67.500;5528.384
67.620;5461.247
67.740;6199.796
67.860;6130.966
67.980;6060.065
68.100;5984.451
68.220;5905.822
68.340;5877.056
68.460;5822.475
68.580;5770.855
68.700;5721.986
68.820;5675.818
68.940;5635.780
69.060;5603.341
69.180;5569.090
69.300;5535.560
69.420;5503.612
69.540;5473.312
69.660;5444.714
69.780;5417.926
69.900;5393.451
70.020;5378.771
70.140;5375.114
70.260;5371.523
70.380;5368.086
70.500;5364.631
70.620;5361.616
70.740;5363.069
70.860;5364.676
70.980;5366.771
71.100;5369.532
71.220;5373.583
71.340;5378.128
71.460;5382.740
71.580;5388.096
71.700;5394.697
71.820;5402.822
71.940;5413.752
72.060;5430.325
72.180;5466.170
72.300;5464.076
72.420;5461.686
72.540;5459.085
72.660;5456.277
72.780;5452.439
72.900;5448.114
73.020;5443.311
73.140;5437.905
73.260;5431.917
73.380;5425.272
73.500;5418.016
73.620;5409.904
73.740;5401.100
73.860;5391.156
73.980;5380.110
74.100;5366.805
74.220;5353.049
74.340;5338.693
74.460;5323.962
74.580;5308.609
74.700;5293.317
74.820;5278.184
74.940;5262.854
75.060;5247.573
75.180;5232.084
75.300;5216.420
75.420;5201.442
75.540;5189.108
75.660;5177.033
75.780;5137.668
75.900;5127.657
76.020;5121.310
76.140;5131.274
76.260;5116.477
76.380;5083.064
76.500;5047.568
76.620;5010.643
76.740;4973.836
76.860;4936.713
76.980;4900.046
77.100;4864.462
77.220;4828.280
77.340;4790.023
77.460;4744.207
77.580;4698.227
77.700;4651.978
77.820;5313.320
77.940;5266.460
78.060;4709.037
78.180;4665.606
78.300;4621.567
78.420;4578.417
78.540;4536.211
78.660;4494.992
78.780;4454.713
78.900;4415.360
79.020;4376.577
79.140;4338.592
79.260;4301.832
79.380;4266.312
79.500;4235.511
79.620;4206.381
79.740;4178.091
79.860;4150.728
79.980;4123.539
80.100;4092.046
80.220;4061.713
80.340;3777.224
80.460;3728.713
80.580;3687.134
80.700;3649.909
80.820;2334.186
80.940;2297.854
81.060;2263.047
81.180;2232.179
81.300;2208.365
81.420;2185.017
81.540;2161.984
81.660;2126.422
81.780;2075.235
81.900;2021.556
82.020;1969.685
82.140;1918.871
82.260;1869.490
