Height (mm);Total slice surface (mmý)
0.060;0.000
0.180;0.000
0.300;0.000
0.420;0.000
0.540;0.000
0.660;0.000
0.780;0.000
0.900;0.000
1.020;0.000
1.140;0.000
1.260;0.000
1.380;0.000
1.500;0.000
1.620;0.000
1.740;0.000
1.860;0.000
1.980;0.000
2.100;0.000
2.220;0.000
2.340;0.000
2.460;0.000
2.580;0.000
2.700;0.000
2.820;0.000
2.940;0.000
3.060;0.000
3.180;0.000
3.300;0.000
3.420;0.000
3.540;0.000
3.660;0.000
3.780;0.000
3.900;0.000
4.020;0.000
4.140;0.000
4.260;0.000
4.380;0.000
4.500;0.000
4.620;0.000
4.740;0.000
4.860;0.000
4.980;0.000
5.100;0.000
5.220;0.000
5.340;0.000
5.460;0.000
5.580;0.000
5.700;0.000
5.820;0.000
5.940;0.000
6.060;0.000
6.180;0.000
6.300;0.000
6.420;0.000
6.540;0.000
6.660;0.000
6.780;0.000
6.900;0.000
7.020;0.000
7.140;0.000
7.260;0.000
7.380;0.000
7.500;0.000
7.620;0.000
7.740;0.000
7.860;0.000
7.980;0.000
8.100;0.000
8.220;0.000
8.340;0.000
8.460;0.000
8.580;0.000
8.700;0.000
8.820;0.000
8.940;0.000
9.060;0.000
9.180;0.000
9.300;0.000
9.420;0.000
9.540;0.000
9.660;0.000
9.780;0.000
9.900;0.000
10.020;0.000
10.140;0.000
10.260;0.000
10.380;0.000
10.500;0.000
10.620;0.000
10.740;0.000
10.860;0.000
10.980;0.000
11.100;0.000
11.220;0.000
11.340;0.000
11.460;0.000
11.580;0.000
11.700;0.000
11.820;0.000
11.940;0.000
12.060;0.000
12.180;0.000
12.300;0.000
12.420;0.000
12.540;0.000
12.660;0.000
12.780;0.000
12.900;0.000
13.020;0.000
13.140;0.000
13.260;0.000
13.380;0.000
13.500;0.000
13.620;0.000
13.740;0.000
13.860;0.000
13.980;0.000
14.100;0.000
14.220;0.000
14.340;0.000
14.460;0.000
14.580;0.000
14.700;0.000
14.820;5.191
14.940;27.505
15.060;50.495
15.180;73.958
15.300;97.810
15.420;121.998
15.540;146.476
15.660;171.232
15.780;196.233
15.900;221.469
16.020;246.912
16.140;272.569
16.260;298.412
16.380;683.025
16.500;730.077
16.620;749.871
16.740;766.122
16.860;780.173
16.980;792.823
17.100;804.513
17.220;815.246
17.340;825.449
17.460;834.887
17.580;843.912
17.700;852.532
17.820;860.629
17.940;868.532
18.060;876.012
18.180;883.206
18.300;890.244
18.420;896.926
18.540;903.404
18.660;909.723
18.780;915.852
18.900;921.680
19.020;927.457
19.140;933.085
19.260;938.425
19.380;1281.887
19.500;1287.771
19.620;1293.843
19.740;1299.955
19.860;1306.171
19.980;1312.519
20.100;1318.845
20.220;1325.149
20.340;1345.521
20.460;1374.570
20.580;1404.212
20.700;1434.250
20.820;1464.665
20.940;1495.453
21.060;1526.598
21.180;1557.895
21.300;1589.497
21.420;1621.782
21.540;1654.544
21.660;1687.866
21.780;1724.462
21.900;1768.631
22.020;1807.061
22.140;1834.373
22.260;1867.468
22.380;1901.858
22.500;1944.759
22.620;1997.430
22.740;2053.399
22.860;2122.642
22.980;2193.283
23.100;2265.135
23.220;2334.639
23.340;2402.651
23.460;2469.780
23.580;2539.628
23.700;2613.966
23.820;2702.252
23.940;2791.139
24.060;2880.627
24.180;2970.678
24.300;3061.230
24.420;3152.371
24.540;3244.093
24.660;3336.434
24.780;3429.377
24.900;3522.904
25.020;3616.985
25.140;3709.774
25.260;3800.946
25.380;3891.786
25.500;3986.131
25.620;4081.084
25.740;4176.037
25.860;4271.044
25.980;4366.094
26.100;4461.221
26.220;4551.020
26.340;4629.442
26.460;4706.758
26.580;4777.890
26.700;4837.830
26.820;4899.090
26.940;4958.320
27.060;5016.059
27.180;5072.537
27.300;5126.416
27.420;5174.995
27.540;5222.741
27.660;5269.606
27.780;5315.389
27.900;5360.496
28.020;5404.825
28.140;5447.218
28.260;5487.461
28.380;5526.820
28.500;5565.413
28.620;5603.184
28.740;5640.076
28.860;5676.010
28.980;5710.610
29.100;5736.806
29.220;5760.256
29.340;5781.684
29.460;5801.340
29.580;5819.772
29.700;5836.976
29.820;5852.791
29.940;5867.358
30.060;5880.760
30.180;5890.645
30.300;5896.193
30.420;5900.294
30.540;5905.141
30.660;5910.938
30.780;5911.241
30.900;5908.018
31.020;5906.382
31.140;5906.728
31.260;5908.348
31.380;5910.308
31.500;5912.698
31.620;5915.478
31.740;5918.595
31.860;5922.684
31.980;5927.639
32.100;5933.142
32.220;5939.132
32.340;5945.434
32.460;5951.682
32.580;5957.100
32.700;5962.520
32.820;5970.295
32.940;5990.910
33.060;6020.408
33.180;6053.335
33.300;6089.233
33.420;6127.886
33.540;6169.223
33.660;6213.592
33.780;6266.633
33.900;6328.961
34.020;6396.513
34.140;6467.982
34.260;6539.370
34.380;6609.898
34.500;6682.073
34.620;6756.600
34.740;6830.498
34.860;6903.190
34.980;6973.630
35.100;7041.772
35.220;7107.337
35.340;7171.518
35.460;7233.605
35.580;7297.417
35.700;7370.835
35.820;7442.699
35.940;7512.749
36.060;7581.049
36.180;7648.763
36.300;7715.553
36.420;7781.670
36.540;7847.381
36.660;7912.464
36.780;7966.082
36.900;8016.302
37.020;8067.064
37.140;8119.082
37.260;8173.308
37.380;8227.435
37.500;8280.083
37.620;8331.044
37.740;8376.531
37.860;8420.148
37.980;8464.458
38.100;8509.263
38.220;8554.071
38.340;8599.036
38.460;8645.860
38.580;8694.034
38.700;8741.746
38.820;8787.860
38.940;8836.970
39.060;8888.447
39.180;8938.513
39.300;8983.616
39.420;9028.655
39.540;9073.818
39.660;9117.707
39.780;9145.351
39.900;9169.491
40.020;9238.480
40.140;9294.808
40.260;9343.701
40.380;9388.406
40.500;9431.192
40.620;9470.594
40.740;9508.305
40.860;9546.215
40.980;9579.446
41.100;9610.999
41.220;9642.425
41.340;9672.537
41.460;9699.545
41.580;9729.191
41.700;9759.130
41.820;9792.214
41.940;9821.695
42.060;9849.908
42.180;9873.950
42.300;9893.181
42.420;9912.806
42.540;9937.893
42.660;9962.223
42.780;9986.392
42.900;10013.310
43.020;10043.550
43.140;10072.492
43.260;10100.142
43.380;10127.705
43.500;10156.879
43.620;10186.507
43.740;10216.494
43.860;10248.904
43.980;10305.048
44.100;10363.540
44.220;10413.108
44.340;10460.423
44.460;10507.446
44.580;10554.219
44.700;10600.087
44.820;10647.512
44.940;10697.951
45.060;10752.353
45.180;10819.866
45.300;10553.222
45.420;10626.551
45.540;10696.519
45.660;10767.881
45.780;10838.237
45.900;10909.439
46.020;10981.154
46.140;11052.316
46.260;11116.526
46.380;11179.049
46.500;11244.058
46.620;11311.302
46.740;11374.669
46.860;11418.414
46.980;11460.743
47.100;11504.249
47.220;11546.360
47.340;11609.850
47.460;11677.950
47.580;11744.128
47.700;11808.319
47.820;11869.256
47.940;11922.301
48.060;11943.412
48.180;11975.594
48.300;12005.051
48.420;12033.671
48.540;12062.236
48.660;12095.513
48.780;12129.405
48.900;12161.920
49.020;12187.752
49.140;12207.318
49.260;12219.184
49.380;12231.729
49.500;12250.280
49.620;12267.205
49.740;12284.693
49.860;12304.283
49.980;12311.922
50.100;12318.775
50.220;12328.651
50.340;12853.806
50.460;12870.500
50.580;12889.285
50.700;12908.559
50.820;12929.781
50.940;12947.295
51.060;12956.975
51.180;12965.721
51.300;12973.441
51.420;12981.489
51.540;12996.328
51.660;13014.634
51.780;13033.378
51.900;13022.819
52.020;13040.449
52.140;13042.415
52.260;12975.656
52.380;12930.755
52.500;12889.188
52.620;12848.567
52.740;12815.246
52.860;12778.237
52.980;12737.141
53.100;12689.957
53.220;12646.574
53.340;12573.038
53.460;12532.461
53.580;12496.071
53.700;12457.312
53.820;12432.796
53.940;12416.939
54.060;12381.718
54.180;12340.184
54.300;12302.568
54.420;12266.962
54.540;12233.206
54.660;12188.054
54.780;12148.216
54.900;12116.073
55.020;12090.557
55.140;12067.078
55.260;12043.680
55.380;12025.477
55.500;12006.790
55.620;11976.131
55.740;12037.900
55.860;12016.634
55.980;12014.107
56.100;11983.528
56.220;11918.735
56.340;11865.729
56.460;11881.630
56.580;11846.597
56.700;11812.558
56.820;11778.443
56.940;11721.055
57.060;11683.124
57.180;11655.206
57.300;11627.001
57.420;11590.376
57.540;11553.571
57.660;11519.599
57.780;11483.779
57.900;11455.246
58.020;11423.017
58.140;11384.860
58.260;11375.322
58.380;11337.590
58.500;11295.052
58.620;11254.399
58.740;11194.904
58.860;11128.203
58.980;11062.694
59.100;10993.228
59.220;10922.519
59.340;10848.417
59.460;10778.506
59.580;10712.846
59.700;10656.227
59.820;10600.596
59.940;10533.398
60.060;10496.307
60.180;10482.131
60.300;10472.970
60.420;10450.751
60.540;10413.580
60.660;10376.181
60.780;10337.908
60.900;10291.173
61.020;10244.475
61.140;10197.823
61.260;10149.886
61.380;10100.555
61.500;10050.868
61.620;10002.741
61.740;9956.518
61.860;9911.672
61.980;9868.091
62.100;9826.526
62.220;9795.009
62.340;9758.323
62.460;9718.911
62.580;9679.199
62.700;9639.677
62.820;9599.972
62.940;9557.080
63.060;9513.844
63.180;9471.221
63.300;9400.114
63.420;9356.361
63.540;9311.760
63.660;9264.538
63.780;9212.711
63.900;9149.520
64.020;9084.305
64.140;9051.689
64.260;9011.310
64.380;8969.847
64.500;8932.728
64.620;8890.180
64.740;8845.913
64.860;8800.231
64.980;8752.624
65.100;8703.214
65.220;8640.231
65.340;8570.607
65.460;8499.965
65.580;8426.394
65.700;8352.280
65.820;8277.433
65.940;8201.659
66.060;8123.443
66.180;8036.118
66.300;7975.374
66.420;7916.913
66.540;7858.732
66.660;7801.091
66.780;7742.609
66.900;7682.905
67.020;7622.893
67.140;7562.612
67.260;7502.139
67.380;7441.300
67.500;7376.110
67.620;7309.971
67.740;8049.481
67.860;7981.157
67.980;7910.197
68.100;7833.814
68.220;7753.639
68.340;7722.507
68.460;7664.671
68.580;7608.845
68.700;7554.494
68.820;7501.808
68.940;7451.125
69.060;7403.487
69.180;7357.446
69.300;7312.173
69.420;7268.552
69.540;7226.719
69.660;7186.847
69.780;7149.229
69.900;7114.721
70.020;7092.242
70.140;7081.734
70.260;7070.636
70.380;7058.983
70.500;7046.482
70.620;7033.137
70.740;7018.918
70.860;7003.122
70.980;6986.223
71.100;6968.806
71.220;6950.940
71.340;6932.672
71.460;6912.787
71.580;6892.596
71.700;6874.009
71.820;6857.362
71.940;6844.024
72.060;6836.699
72.180;6849.050
72.300;6823.875
72.420;6798.820
72.540;6774.007
72.660;6749.460
72.780;6724.406
72.900;6699.474
73.020;6674.854
73.140;6649.961
73.260;6624.595
73.380;6598.378
73.500;6571.919
73.620;6548.829
73.740;6526.157
73.860;6503.301
73.980;6480.690
74.100;6457.906
74.220;6435.379
74.340;6412.657
74.460;6390.093
74.580;6364.297
74.700;6337.798
74.820;6311.624
74.940;6285.328
75.060;6259.147
75.180;6233.714
75.300;6201.364
75.420;6165.576
75.540;6133.008
75.660;6101.358
75.780;6042.992
75.900;6014.550
76.020;5990.326
76.140;5983.049
76.260;5951.748
76.380;5902.686
76.500;5852.086
76.620;5800.612
76.740;5749.770
76.860;5699.124
76.980;5648.297
77.100;5597.392
77.220;5545.867
77.340;5492.381
77.460;5431.648
77.580;5371.037
77.700;5310.354
77.820;5955.594
77.940;5890.121
78.060;5311.757
78.180;5245.105
78.300;5177.606
78.420;5110.781
78.540;5047.752
78.660;4987.094
78.780;4923.206
78.900;4859.576
79.020;4796.898
79.140;4735.354
79.260;4675.110
79.380;4620.861
79.500;4571.384
79.620;4522.307
79.740;4473.580
79.860;4417.395
79.980;4357.655
80.100;4299.464
80.220;4243.012
80.340;3961.369
80.460;3887.201
80.580;3820.126
80.700;3757.244
80.820;2389.610
80.940;2332.155
81.060;2279.263
81.180;2232.303
81.300;2193.319
81.420;2156.038
81.540;2125.714
81.660;2104.384
81.780;2083.968
81.900;2063.924
82.020;2044.866
82.140;2026.272
82.260;2008.312
82.380;1991.368
82.500;3275.120
